city,lat,lon
Alameda,37.7798721,-122.2821855
Albany,37.886704,-122.2977557
Antioch,38.0049214,-121.805789
Belmont,37.5202145,-122.2758008
Berkeley,37.8715226,-122.273042
Brentwood,37.931868,-121.6957863
Brisbane,37.6847648,-122.4023808
Burlingame,37.5778696,-122.34809
Campbell,37.2871651,-121.9499568
Castro Valley,37.6955029,-122.0738678
Concord,37.9817195,-122.025904
Corte Madera,37.9254806,-122.5274755
Cupertino,37.3229978,-122.0321823
Daly City,37.6879241,-122.4702079
Danville,37.8215929,-121.9999606
Dublin,37.7049108,-121.9096158
East Palo Alto,37.4688273,-122.1410751
El Cerrito,37.9161326,-122.310765
El Sobrante,37.9771452,-122.2952474
Emeryville,37.8395028,-122.2892278
Fairfax,37.9871454,-122.5888686
Foster City,37.5585465,-122.2710788
Fremont,37.5485396,-121.988583
Gilroy,37.0029828,-121.5566373
Half Moon Bay,37.4635519,-122.4285862
Hayward,37.6687665,-122.0809964
Hercules,38.0171441,-122.2885808
Hollister,36.8524545,-121.4016021
Lafayette,37.8857582,-122.1180201
Larkspur,37.9340915,-122.5352539
Livermore,37.6818688,-121.7684732
Los Altos,37.3813639,-122.1142578
Los Altos Hills,37.3796627,-122.1374637
Los Gatos,37.2358078,-121.9623751
Martinez,38.0193657,-122.1341321
Menlo Park,37.4529598,-122.1817252
Mill Valley,37.9003469,-122.5286567
Millbrae,37.5985468,-122.3871942
Milpitas,37.4323341,-121.8995741
Moraga,37.8349263,-122.1296871
Morgan Hill,37.1305012,-121.6543901
Mountain View,37.3900264,-122.0812304
Newark,37.5299765,-122.0383968
Novato,38.1074198,-122.5697032
Oakland,37.8043514,-122.2711639
Oakley,37.9974219,-121.7124536
Pacifica,37.6327914,-122.4900652
Palo Alto,37.4418834,-122.1430195
Pittsburg,38.0279762,-121.8846806
Pleasant Hill,37.9479786,-122.0607963
Pleasanton,37.6604484,-121.8757968
Redwood City,37.4847955,-122.228141
Richmond,37.9374723,-122.3432717
San Anselmo,37.9746458,-122.5616448
San Bruno,37.6304904,-122.4110835
San Carlos,37.5071591,-122.2605222
San Francisco,37.7749295,-122.4194155
San Jose,37.33874,-121.8852525
San Leandro,37.7257663,-122.1568554
San Lorenzo,37.6793968,-122.1267054
San Mateo,37.5629917,-122.3255254
San Pablo,37.9621457,-122.3455263
San Rafael,37.9735346,-122.5310874
San Ramon,37.7643595,-121.9539616
Santa Clara,37.3541079,-121.9552356
Saratoga,37.2717475,-122.0184265
Sausalito,37.8590937,-122.4852507
South San Francisco,37.654656,-122.4077498
Sunnyvale,37.36883,-122.0363496
Tiburon,37.8735377,-122.4566392
Union City,37.5933562,-122.0438609
Walnut Creek,37.9100783,-122.0651819
