Year,Occupation,Monthly Salary
2019,Software Developers,10392
2019,Dining/Cafeteria Workers,2559
2019,Elementary Teachers,7106
2020,Software Developers,11119
2020,Dining/Cafeteria Workers,2662
2020,Elementary Teachers,7319
2021,Software Developers,11897
2021,Dining/Cafeteria Workers,2768
2021,Elementary Teachers,7539
2022,Software Developers,12730
2022,Dining/Cafeteria Workers,2879
2022,Elementary Teachers,7765
2023,Software Developers,13621
2023,Dining/Cafeteria Workers,2994
2023,Elementary Teachers,7998
2024,Software Developers,14576
2024,Dining/Cafeteria Workers,3113
2024,Elementary Teachers,8241
2025,Software Developers,15596
2025,Dining/Cafeteria Workers,3238
2025,Elementary Teachers,8488
2026,Software Developers,16688
2026,Dining/Cafeteria Workers,3367
2026,Elementary Teachers,8742
