RegionName,Year,AvgMonthlyRent
San Jose,2015,2431.819966
San Jose,2016,2535.188438
San Jose,2017,2609.806461
San Jose,2018,2706.051017
San Jose,2019,2769.13036
San Jose,2020,2732.637594
San Jose,2021,2708.851817
San Jose,2022,2947.130844
San Jose,2023,3002.931694
San Jose,2024,3091.295197
San Jose,2025,3198.83757
San Jose,2026,3255.460137
San Francisco,2015,3193.471637
San Francisco,2016,3251.025351
San Francisco,2017,3251.920114
San Francisco,2018,3353.40655
San Francisco,2019,3442.702473
San Francisco,2020,3250.972297
San Francisco,2021,3044.197168
San Francisco,2022,3267.921217
San Francisco,2023,3271.851667
San Francisco,2024,3309.321768
San Francisco,2025,3586.18122
San Francisco,2026,3877.113785
Oakland,2015,1915.94193
Oakland,2016,2135.978097
Oakland,2017,2275.376283
Oakland,2018,2370.014899
Oakland,2019,2454.7968
Oakland,2020,2430.898389
Oakland,2021,2367.15356
Oakland,2022,2476.576038
Oakland,2023,2450.23738
Oakland,2024,2383.624909
Oakland,2025,2461.397386
Oakland,2026,2524.082902
Fremont,2015,2293.894668
Fremont,2016,2434.527495
Fremont,2017,2513.051618
Fremont,2018,2575.213734
Fremont,2019,2611.848328
Fremont,2020,2610.59178
Fremont,2021,2630.734693
Fremont,2022,2844.263573
Fremont,2023,2883.976192
Fremont,2024,2922.648724
Fremont,2025,3004.838431
Fremont,2026,3038.119809
Hayward,2015,1761.399829
Hayward,2016,1938.977677
Hayward,2017,2049.874622
Hayward,2018,2147.797279
Hayward,2019,2213.138559
Hayward,2020,2247.979874
Hayward,2021,2284.976147
Hayward,2022,2421.287401
Hayward,2023,2467.272082
Hayward,2024,2497.25566
Hayward,2025,2544.109516
Hayward,2026,2553.211563
Sunnyvale,2015,2729.900967
Sunnyvale,2016,2784.430228
Sunnyvale,2017,2875.49628
Sunnyvale,2018,3008.563525
Sunnyvale,2019,3092.74227
Sunnyvale,2020,2989.949049
Sunnyvale,2021,2872.695483
Sunnyvale,2022,3161.005247
Sunnyvale,2023,3179.9673
Sunnyvale,2024,3292.420855
Sunnyvale,2025,3461.289536
Sunnyvale,2026,3535.583371
Concord,2015,1613.793785
Concord,2016,1752.575271
Concord,2017,1858.871421
Concord,2018,1944.697434
Concord,2019,2034.025072
Concord,2020,2082.23763
Concord,2021,2183.395589
Concord,2022,2315.388987
Concord,2023,2359.277085
Concord,2024,2433.12946
Concord,2025,2494.740036
Concord,2026,2495.712624
Santa Clara,2015,2671.493185
Santa Clara,2016,2805.891822
Santa Clara,2017,2861.678709
Santa Clara,2018,2954.718433
Santa Clara,2019,3042.82452
Santa Clara,2020,2984.670187
Santa Clara,2021,2901.806282
Santa Clara,2022,3188.634873
Santa Clara,2023,3269.704083
Santa Clara,2024,3380.280997
Santa Clara,2025,3501.601673
Santa Clara,2026,3615.088656
Richmond,2016,1856.666888
Richmond,2017,2014.440848
Richmond,2018,2137.865448
Richmond,2019,2225.592846
Richmond,2020,2247.023026
Richmond,2021,2321.651066
Richmond,2022,2423.360072
Richmond,2023,2451.872058
Richmond,2024,2510.212482
Richmond,2025,2534.025315
Richmond,2026,2529.263437
Berkeley,2016,2631.726171
Berkeley,2017,2702.077585
Berkeley,2018,2757.315885
Berkeley,2019,2800.468225
Berkeley,2020,2779.590343
Berkeley,2021,2780.977261
Berkeley,2022,2939.087918
Berkeley,2023,2961.406028
Berkeley,2024,2965.921948
Berkeley,2025,3029.024863
Berkeley,2026,3072.469818
Antioch,2015,1629.038857
Antioch,2016,1774.666274
Antioch,2017,1903.627803
Antioch,2018,2053.286811
Antioch,2019,2154.752818
Antioch,2020,2256.801675
Antioch,2021,2451.781068
Antioch,2022,2573.662128
Antioch,2023,2645.593268
Antioch,2024,2726.757153
Antioch,2025,2774.034576
Antioch,2026,2800.268981
San Leandro,2017,1968.195116
San Leandro,2018,2007.655824
San Leandro,2019,2089.653167
San Leandro,2020,2128.98446
San Leandro,2021,2149.908318
San Leandro,2022,2279.182056
San Leandro,2023,2348.484052
San Leandro,2024,2365.140391
San Leandro,2025,2398.281937
San Leandro,2026,2425.467602
San Mateo,2015,2673.434584
San Mateo,2016,2771.127805
San Mateo,2017,2868.287014
San Mateo,2018,2961.326584
San Mateo,2019,3052.862487
San Mateo,2020,2992.780688
San Mateo,2021,2877.071833
San Mateo,2022,3116.153892
San Mateo,2023,3134.576141
San Mateo,2024,3224.723587
San Mateo,2025,3420.864066
San Mateo,2026,3467.519344
Daly City,2017,2275.62256
Daly City,2018,2311.325964
Daly City,2019,2371.074033
Daly City,2020,2370.963485
Daly City,2021,2322.742377
Daly City,2022,2479.067523
Daly City,2023,2546.349236
Daly City,2024,2567.920693
Daly City,2025,2640.02797
Daly City,2026,2721.002436
Redwood City,2015,2878.880723
Redwood City,2016,3011.359057
Redwood City,2017,3086.681825
Redwood City,2018,3186.461881
Redwood City,2019,3314.527682
Redwood City,2020,3227.502058
Redwood City,2021,3115.332757
Redwood City,2022,3347.405126
Redwood City,2023,3360.627381
Redwood City,2024,3457.759933
Redwood City,2025,3635.46877
Redwood City,2026,3699.223418
Livermore,2015,2183.45232
Livermore,2016,2290.487185
Livermore,2017,2384.836178
Livermore,2018,2471.276975
Livermore,2019,2515.427309
Livermore,2020,2531.974101
Livermore,2021,2631.975571
Livermore,2022,2796.433285
Livermore,2023,2837.474646
Livermore,2024,2855.108587
Livermore,2025,2922.108271
Livermore,2026,2894.43088
Pittsburg,2015,1396.197911
Pittsburg,2016,1521.01088
Pittsburg,2017,1648.18585
Pittsburg,2018,1751.760066
Pittsburg,2019,1890.069536
Pittsburg,2020,1984.635572
Pittsburg,2021,2100.533372
Pittsburg,2022,2236.711811
Pittsburg,2023,2319.301344
Pittsburg,2024,2368.830285
Pittsburg,2025,2408.955652
Pittsburg,2026,2406.507972
Walnut Creek,2015,2049.507639
Walnut Creek,2016,2166.175876
Walnut Creek,2017,2233.968203
Walnut Creek,2018,2317.890384
Walnut Creek,2019,2369.88929
Walnut Creek,2020,2389.243096
Walnut Creek,2021,2431.097416
Walnut Creek,2022,2585.970978
Walnut Creek,2023,2573.403323
Walnut Creek,2024,2638.604687
Walnut Creek,2025,2681.30029
Walnut Creek,2026,2738.964203
San Ramon,2015,2169.436652
San Ramon,2016,2256.127356
San Ramon,2017,2311.155526
San Ramon,2018,2370.004925
San Ramon,2019,2395.274316
San Ramon,2020,2415.815638
San Ramon,2021,2522.25159
San Ramon,2022,2692.746032
San Ramon,2023,2726.658262
San Ramon,2024,2777.019591
San Ramon,2025,2805.158956
San Ramon,2026,2822.250258
Mountain View,2015,3246.138779
Mountain View,2016,3289.86206
Mountain View,2017,3331.028482
Mountain View,2018,3465.537471
Mountain View,2019,3602.310784
Mountain View,2020,3459.310936
Mountain View,2021,3310.204435
Mountain View,2022,3642.447167
Mountain View,2023,3691.292557
Mountain View,2024,3773.499867
Mountain View,2025,3929.859304
Mountain View,2026,4045.975078
Milpitas,2016,2564.952537
Milpitas,2017,2671.196347
Milpitas,2018,2743.447687
Milpitas,2019,2788.325366
Milpitas,2020,2790.326117
Milpitas,2021,2814.262311
Milpitas,2022,3074.127592
Milpitas,2023,3122.681777
Milpitas,2024,3191.793605
Milpitas,2025,3267.244047
Milpitas,2026,3353.252739
Pleasanton,2016,2406.529746
Pleasanton,2017,2432.302307
Pleasanton,2018,2492.493273
Pleasanton,2019,2526.199628
Pleasanton,2020,2550.816401
Pleasanton,2021,2621.409151
Pleasanton,2022,2806.130708
Pleasanton,2023,2817.582803
Pleasanton,2024,2858.144699
Pleasanton,2025,2908.035756
Pleasanton,2026,2942.876222
Brentwood,2015,1772.497322
Brentwood,2016,1916.469486
Brentwood,2017,2037.635725
Brentwood,2018,2124.747065
Brentwood,2019,2191.773188
Brentwood,2020,2282.771878
Brentwood,2021,2715.107544
Brentwood,2022,2868.714049
Brentwood,2023,2863.341909
Brentwood,2024,3081.078786
Brentwood,2025,3152.893076
Brentwood,2026,3218.011403
San Rafael,2016,2283.489153
San Rafael,2017,2380.404842
San Rafael,2018,2466.651411
San Rafael,2019,2522.920876
San Rafael,2020,2561.664523
San Rafael,2021,2628.912321
San Rafael,2022,2849.843502
San Rafael,2023,2874.048343
San Rafael,2024,2948.0852
San Rafael,2025,3042.191131
San Rafael,2026,3024.23158
Palo Alto,2015,3344.827058
Palo Alto,2016,3317.798501
Palo Alto,2017,3388.108813
Palo Alto,2018,3478.946627
Palo Alto,2019,3560.218064
Palo Alto,2020,3458.241974
Palo Alto,2021,3375.461096
Palo Alto,2022,3610.932662
Palo Alto,2023,3694.129966
Palo Alto,2024,3774.176828
Palo Alto,2025,3948.966903
Palo Alto,2026,4033.511833
Alameda,2016,2189.155354
Alameda,2017,2276.785573
Alameda,2018,2372.786572
Alameda,2019,2441.686977
Alameda,2020,2460.30187
Alameda,2021,2502.299514
Alameda,2022,2622.801331
Alameda,2023,2665.109841
Alameda,2024,2690.899453
Alameda,2025,2729.420594
Alameda,2026,2777.733346
Union City,2017,2111.474533
Union City,2018,2206.335634
Union City,2019,2222.049006
Union City,2020,2253.753229
Union City,2021,2290.889203
Union City,2022,2461.707421
Union City,2023,2497.92568
Union City,2024,2518.399335
Union City,2025,2589.909812
Union City,2026,2600.528264
Gilroy,2023,2609.992039
Gilroy,2024,2683.116557
Gilroy,2025,2741.820083
Gilroy,2026,2814.814649
South San Francisco,2018,3101.217257
South San Francisco,2019,3127.106079
South San Francisco,2020,3130.890809
South San Francisco,2021,3063.777015
South San Francisco,2022,3280.128589
South San Francisco,2023,3312.367654
South San Francisco,2024,3387.322817
South San Francisco,2025,3483.561813
South San Francisco,2026,3586.412652
Dublin,2016,2527.602706
Dublin,2017,2581.56046
Dublin,2018,2663.865195
Dublin,2019,2687.731557
Dublin,2020,2668.368096
Dublin,2021,2772.364231
Dublin,2022,2921.394001
